chat_file_name,utterance_id,speaker,DA_Label
274-0,0,*INV,['Instruction']
274-0,1,*PAR,['Answer: t4']
274-0,2,*PAR,"['Answer: t5', 'Answer: t8']"
274-0,3,*PAR,['Answer: t6']
274-0,4,*PAR,['Answer: t6']
274-0,5,*PAR,"['Answer: t6', 'Answer: t5']"
274-0,6,*PAR,"['Answer: t6', 'Answer: t5']"
274-0,7,*PAR,['Answer: t2']
274-0,8,*PAR,['Answer: t1']
274-0,9,*PAR,['Answer: t4']
274-0,10,*PAR,['Answer: t2']
274-0,11,*INV,['Question: General']
274-0,12,*PAR,['Request: Clarification']
274-0,13,*PAR,['Request: Clarification']
274-0,14,*INV,['Answer: General']
274-0,15,*PAR,['Answer: General']
274-0,16,*PAR,['Answer: General']
274-0,17,*INV,['Acknowledgment']
280-1,0,*PAR,['Acknowledgment']
280-1,1,*PAR,['Answer: t6']
280-1,2,*PAR,"['Answer: t5', 'Answer: t8']"
280-1,3,*PAR,['Answer: t2']
280-1,4,*PAR,['Answer: t4']
280-1,5,*PAR,['Answer: t1']
280-1,6,*PAR,['Correction']
280-1,7,*PAR,['Answer: General']
280-1,8,*INV,['Acknowledgment']
296-0,0,*INV,['Instruction']
296-0,1,*PAR,"['Answer: t6', 'Answer: t5']"
296-0,2,*PAR,['Answer: t8']
296-0,3,*PAR,"['Answer: t2', 'Answer: t1']"
296-0,4,*PAR,['Answer: t4']
296-0,5,*PAR,['Answer: t3']
296-0,6,*PAR,"['Answer: t6', 'Answer: t5']"
296-0,7,*INV,['Acknowledgment']
297-2,0,*PAR,"['Answer: t6', 'Answer: t5']"
297-2,1,*PAR,"['Answer: t6', 'Answer: t8']"
297-2,2,*PAR,['Answer: t2']
297-2,3,*PAR,['Answer: t4']
297-2,4,*PAR,['Answer: t1']
297-2,5,*PAR,"['Answer: t5', 'Answer: t6']"
297-2,6,*INV,['Acknowledgment']
297-2,7,*PAR,['Answer: t1']
297-2,8,*PAR,['Request: Clarification']
297-2,9,*INV,['Answer: General']
297-2,10,*INV,['Question: General']
297-2,11,*PAR,['Answer: No']
297-2,12,*PAR,['Question: General']
297-2,13,*INV,['Answer: General']
298-1,0,*INV,['Instruction']
298-1,1,*INV,['Instruction']
298-1,2,*PAR,['Acknowledgment']
298-1,3,*PAR,"['Answer: t6', 'Answer: t5', 'Answer: t8']"
298-1,4,*PAR,['Answer: t6']
298-1,5,*PAR,"['Answer: t2', 'Answer: t1']"
298-1,6,*PAR,['Answer: t4']
298-1,7,*PAR,['Answer: t3']
298-1,8,*PAR,['Request: Clarification']
298-1,9,*PAR,['Request: Clarification']
298-1,10,*INV,['Answer: General']
298-1,11,*PAR,['Acknowledgment']
298-1,12,*PAR,['Answer: General']
298-1,13,*INV,['Acknowledgment']
298-1,14,*INV,['Farewell']
299-1,0,*INV,['Instruction']
299-1,1,*INV,['Instruction']
299-1,2,*INV,['Instruction']
299-1,3,*PAR,"['Answer: t6', 'Answer: t8']"
